phone_num,rst_name,score_p0,score_p1,score_p2,michelin_dummy,if_new,not_new,p2-p0,p1-p0
03-6458-8988,O2,3.82,3.82,3.82,1.0,0.0,1.0,0.0,0.0
03-6759-1096,サンプリシテ,4.06,4.06,4.14,1.0,0.0,1.0,0.08,0.0
03-5574-8881,鳥善 瀬尾,3.73,3.73,3.72,1.0,0.0,1.0,-0.0099999999999997,0.0
050-5596-2216,鮨 福元,3.64,3.64,3.64,1.0,0.0,1.0,0.0,0.0
03-3444-5637,穂むら,3.41,3.41,3.41,1.0,0.0,1.0,0.0,0.0
03-6809-0965,Ata,3.93,3.93,3.91,1.0,0.0,1.0,-0.02,0.0
050-5593-4875,厲家菜 銀座,3.68,3.68,3.68,1.0,0.0,1.0,0.0,0.0
03-3469-9333,ジーテン,3.71,3.71,3.71,1.0,0.0,1.0,0.0,0.0
03-3868-3714,豊栄,3.89,3.89,3.89,1.0,0.0,1.0,0.0,0.0
03-6804-5942,オルグイユ,3.92,3.92,3.92,1.0,0.0,1.0,0.0,0.0
03-3631-2529,川﨑,3.65,3.65,3.65,1.0,0.0,1.0,0.0,0.0
03-6875-8508,池尻 浅野,3.08,3.08,3.08,1.0,1.0,0.0,0.0,0.0
03-3401-0722,天ぷら 元吉,4.22,4.22,3.04,1.0,0.0,1.0,-1.1799999999999995,0.0
03-6380-5223,懐石 大原,3.67,3.67,3.67,1.0,0.0,1.0,0.0,0.0
03-3843-0881,どぜう飯田屋,3.73,3.73,3.72,1.0,0.0,1.0,-0.0099999999999997,0.0
03-5818-3566,鳥つね自然洞,3.79,3.79,3.79,1.0,0.0,1.0,0.0,0.0
03-5484-8117,天のや,3.7,3.7,3.7,1.0,0.0,1.0,0.0,0.0
03-3571-4711,さわ田,4.55,4.55,4.52,1.0,0.0,1.0,-0.0300000000000002,0.0
03-5541-5578,鮨 はしもと,4.14,4.14,4.31,1.0,0.0,1.0,0.1699999999999999,0.0
03-3539-8087,レ セゾン,4.26,4.26,4.15,1.0,0.0,1.0,-0.1099999999999994,0.0
03-3583-7852,五代目 野田岩 麻布飯倉本店,3.79,3.79,3.79,1.0,0.0,1.0,0.0,0.0
03-3465-0747,您好,3.73,3.73,3.73,1.0,0.0,1.0,0.0,0.0
050-5595-1979,江戸蕎麦ほそ川,3.78,3.78,3.78,1.0,0.0,1.0,0.0,0.0
03-3411-3402,和み酒 帆凪,3.36,3.36,3.36,1.0,0.0,1.0,0.0,0.0
03-3251-3580,いし橋,3.89,3.89,3.89,1.0,0.0,1.0,0.0,0.0
03-3816-0997,こなから 本店,3.7,3.7,3.7,1.0,0.0,1.0,0.0,0.0
050-5590-8460,トゥールダルジャン 東京,4.23,4.23,4.11,1.0,0.0,1.0,-0.1200000000000001,0.0
03-3505-3345,コム・ア・ラ・メゾン,3.76,3.76,3.76,1.0,0.0,1.0,0.0,0.0
03-6427-3239,南青山 七鳥目,4.21,4.21,4.08,1.0,0.0,1.0,-0.1299999999999999,0.0
03-5772-7500,ラトリエ ドゥ ジョエル・ロブション,3.79,3.79,3.81,1.0,0.0,1.0,0.02,0.0
03-6455-4023,いち太,4.06,4.06,4.11,1.0,0.0,1.0,0.0500000000000007,0.0
03-5927-1606,旬香亭,3.71,3.71,3.71,1.0,0.0,1.0,0.0,0.0
03-6427-7189,くろ﨑,4.07,4.07,4.12,1.0,0.0,1.0,0.0499999999999998,0.0
03-3543-2525,王十里\u3000サランチェ,3.53,3.53,3.52,1.0,0.0,1.0,-0.0099999999999997,0.0
03-3535-3600,すきやばし 次郎,4.32,4.32,4.11,1.0,0.0,1.0,-0.2099999999999999,0.0
03-5246-4056,ナベノ-イズム,4.06,4.06,4.09,1.0,0.0,1.0,0.0300000000000002,0.0
03-5422-8099,ルカンケ,3.79,3.79,3.79,1.0,0.0,1.0,0.0,0.0
03-6721-0086,乃木坂 しん,3.7,3.7,3.7,1.0,0.0,1.0,0.0,0.0
050-5869-0637,リストランテ・ホンダ,3.77,3.77,3.77,1.0,0.0,1.0,0.0,0.0
050-5592-6364,ブラッスリー ギョラン,3.72,3.72,3.72,1.0,0.0,1.0,0.0,0.0
050-5592-7894,ラ・トルチュ,3.69,3.69,3.68,1.0,0.0,1.0,-0.0099999999999997,0.0
03-6903-3833,一東菴,3.75,3.75,3.75,1.0,0.0,1.0,0.0,0.0
03-3445-6617,蕎麦 たじま,3.78,3.78,3.78,1.0,0.0,1.0,0.0,0.0
050-5868-4395,小笠原伯爵邸,3.77,3.77,3.77,1.0,0.0,1.0,0.0,0.0
03-3791-3023,バル・エンリケ,3.63,3.63,3.64,1.0,1.0,0.0,0.0100000000000002,0.0
03-6380-5797,多仁本,4.06,4.06,4.11,1.0,0.0,1.0,0.0500000000000007,0.0
050-5868-4494,能登金沢の幸 銀座 ふる田,3.61,3.61,3.61,1.0,0.0,1.0,0.0,0.0
080-7896-5596,ビストロべっぴん舎 お茶の水,3.83,3.83,3.81,1.0,1.0,0.0,-0.02,0.0
03-5379-8573,おでんやden,3.69,3.69,3.69,1.0,0.0,1.0,0.0,0.0
050-5594-2146,bistro Tiroir,3.39,3.39,3.43,1.0,0.0,1.0,0.04,0.0
03-3481-6708,和食 静流,3.51,3.51,3.51,1.0,0.0,1.0,0.0,0.0
050-3628-6368,銀座 きた福,4.05,4.05,4.04,1.0,0.0,1.0,-0.0099999999999997,0.0
03-3917-6657,串駒 本店,3.69,3.69,3.68,1.0,0.0,1.0,-0.0099999999999997,0.0
03-6304-1811,創作麺工房 鳴龍,3.87,3.87,3.88,1.0,0.0,1.0,0.0099999999999997,0.0
03-3410-5517,ビストロ グルトン,3.09,3.09,3.08,1.0,0.0,1.0,-0.0099999999999997,0.0
03-5272-5010,ラミティエ,3.78,3.78,3.78,1.0,0.0,1.0,0.0,0.0
03-3813-8038,石ばし,3.86,3.86,3.86,1.0,0.0,1.0,0.0,0.0
050-5456-3274,ふしきの,3.59,3.59,3.59,1.0,0.0,1.0,0.0,0.0
03-5422-7612,銀屋,3.36,3.36,3.35,1.0,0.0,1.0,-0.0099999999999997,0.0
03-6447-5447,An Di,3.74,3.74,3.74,1.0,0.0,1.0,0.0,0.0
050-5456-4977,曙橋 かず,3.08,3.08,3.09,1.0,0.0,1.0,0.0099999999999997,0.0
03-5315-4630,焼鳥 おがわ,3.76,3.76,3.76,1.0,0.0,1.0,0.0,0.0
03-3882-8848,宇豆基野 本店,3.74,3.74,3.74,1.0,0.0,1.0,0.0,0.0
03-3499-5501,臼杵ふぐ 山田屋 西麻布,3.92,3.92,3.92,1.0,0.0,1.0,0.0,0.0
03-3873-2116,レストラン香味屋,3.81,3.81,3.8,1.0,0.0,1.0,-0.0100000000000002,0.0
03-5734-1699,韓国食堂 入ル 坂上ル,3.3,3.3,3.22,1.0,0.0,1.0,-0.0799999999999996,0.0
03-5466-1270,霞町 やまがみ,3.97,3.97,4.0,1.0,0.0,1.0,0.0299999999999998,0.0
03-6303-4005,天雅,3.67,3.67,3.67,1.0,0.0,1.0,0.0,0.0
03-5829-8138,mille,3.09,3.09,3.09,1.0,1.0,0.0,0.0,0.0
03-3916-0355,串駒房,3.62,3.62,3.65,1.0,0.0,1.0,0.0299999999999998,0.0
03-3445-5301,地蔵鮓,3.37,3.37,3.37,1.0,0.0,1.0,0.0,0.0
050-5597-6218,フレンチ キッチン,3.73,3.73,3.74,1.0,0.0,1.0,0.0100000000000002,0.0
050-5590-5839,春草,3.66,3.66,3.66,1.0,0.0,1.0,0.0,0.0
03-3255-6595,丸五,3.86,3.86,3.88,1.0,0.0,1.0,0.02,0.0
03-6427-5167,寿修,3.81,3.81,3.81,1.0,0.0,1.0,0.0,0.0
050-5594-9716,目黒 すし太一,3.08,3.08,3.08,1.0,0.0,1.0,0.0,0.0
03-3791-1173,蕎や 月心,3.76,3.76,3.76,1.0,0.0,1.0,0.0,0.0
03-5424-1338,ラ ターブル ドゥ ジョエル・ロブション,3.84,3.84,3.84,1.0,0.0,1.0,0.0,0.0
03-6432-0414,おかもと,3.64,3.64,3.64,1.0,0.0,1.0,0.0,0.0
03-5250-1081,銀座バードランド,3.77,3.77,3.77,1.0,0.0,1.0,0.0,0.0
03-3811-4850,はし本,3.76,3.76,3.76,1.0,0.0,1.0,0.0,0.0
03-6804-2006,sincere,3.9,3.9,3.65,1.0,0.0,1.0,-0.25,0.0
03-6273-1003,まる富,3.93,3.93,3.94,1.0,0.0,1.0,0.0099999999999997,0.0
03-3794-8399,旬楽,3.11,3.11,3.11,1.0,0.0,1.0,0.0,0.0
050-5456-4404,炭火割烹 白坂,3.53,3.53,3.53,1.0,0.0,1.0,0.0,0.0
03-3467-1106,モロッコ料理の台所\u3000エンリケマルエコス,3.53,3.53,3.54,1.0,1.0,0.0,0.0100000000000002,0.0
03-6804-8935,キガルニワショク弾,3.1,3.1,3.14,1.0,0.0,1.0,0.04,0.0
03-6883-9898,燗コーヒー藤々,3.34,3.34,3.34,1.0,0.0,1.0,0.0,0.0
03-5953-3430,シュヴァル・ド・ヒョータン,3.69,3.69,3.69,1.0,0.0,1.0,0.0,0.0
03-3431-0811,精進料理 醍醐,3.69,3.69,3.69,1.0,0.0,1.0,0.0,0.0
050-5868-6657,レストラン リューズ,3.99,3.99,4.01,1.0,0.0,1.0,0.0199999999999995,0.0
03-6435-1996,てんぷら前平,3.59,3.59,3.59,1.0,0.0,1.0,0.0,0.0
03-6455-4426,ビストロ マ・キュイジーヌ,3.09,3.09,3.09,1.0,1.0,0.0,0.0,0.0
03-6722-6588,すし家 祥太,3.09,3.09,3.14,1.0,1.0,0.0,0.0500000000000002,0.0
03-6440-0878,フロリレージュ,4.24,4.24,4.12,1.0,0.0,1.0,-0.1200000000000001,0.0
03-5422-6606,ラ クレリエール,4.02,4.02,3.03,1.0,0.0,1.0,-0.9899999999999998,0.0
050-5597-1841,白金 酉玉 本館,3.74,3.74,3.74,1.0,0.0,1.0,0.0,0.0
03-6722-0977,焼鳥 嘉とう,3.3,3.3,3.37,1.0,0.0,1.0,0.0700000000000002,0.0
03-5543-0335,久丹,3.88,3.88,3.92,1.0,0.0,1.0,0.04,0.0
03-5809-9022,トラットリア ブカ マッシモ,3.52,3.52,3.52,1.0,0.0,1.0,0.0,0.0
03-3631-0109,ちゃんこ増位山,3.39,3.39,3.39,1.0,0.0,1.0,0.0,0.0
03-6809-4982,プリンチピオ,3.88,3.88,3.87,1.0,0.0,1.0,-0.0099999999999997,0.0
03-6804-1377,ペルー料理 bepocah,3.73,3.73,3.12,1.0,0.0,1.0,-0.6099999999999999,0.0
03-3669-3855,日本橋蛎殻町 すぎた,4.8,4.8,4.68,1.0,0.0,1.0,-0.1200000000000001,0.0
03-6715-1400,とんかつ ふる味,3.46,3.46,3.46,1.0,0.0,1.0,0.0,0.0
050-5597-6471,レストラン ラフィナージュ,3.69,3.69,3.7,1.0,0.0,1.0,0.0100000000000002,0.0
050-5590-3120,ベージュ アラン・デュカス 東京,3.78,3.78,3.78,1.0,0.0,1.0,0.0,0.0
03-5568-0923,てんぷら 近藤,3.83,3.83,3.82,1.0,0.0,1.0,-0.0100000000000002,0.0
03-6450-5991,日本料理 太月,4.09,4.09,4.18,1.0,0.0,1.0,0.0899999999999998,0.0
03-6447-1710,焼鳥今井,3.82,3.82,3.81,1.0,0.0,1.0,-0.0099999999999997,0.0
03-6265-0336,エンジン,3.75,3.75,3.76,1.0,0.0,1.0,0.0099999999999997,0.0
03-3770-1915,ルコック,3.55,3.55,3.54,1.0,0.0,1.0,-0.0099999999999997,0.0
050-5593-0716,ラ\u3000ブーシュリー\u3000グートン,3.52,3.52,3.52,1.0,0.0,1.0,0.0,0.0
03-5579-8740,BOLT,3.66,3.66,3.66,1.0,0.0,1.0,0.0,0.0
03-5786-0150,かんだ,3.89,3.89,3.89,1.0,0.0,1.0,0.0,0.0
03-5225-3808,エスタシオン,3.7,3.7,3.7,1.0,0.0,1.0,0.0,0.0
050-5593-4854,鳥なお,3.43,3.43,3.44,1.0,0.0,1.0,0.0099999999999997,0.0
050-5593-7143,レクテ,3.91,3.91,3.91,1.0,0.0,1.0,0.0,0.0
03-3403-3984,懐石 辻留,3.87,3.87,3.87,1.0,0.0,1.0,0.0,0.0
050-5868-9389,レストラン サンパウ,3.64,3.64,3.65,1.0,0.0,1.0,0.0099999999999997,0.0
03-3571-6050,ロオジエ,4.53,4.53,4.41,1.0,0.0,1.0,-0.1200000000000001,0.0
03-6277-2199,アルゴリズム,3.88,3.88,3.89,1.0,0.0,1.0,0.0100000000000002,0.0
03-5774-4372,西麻布 拓,3.7,3.7,3.7,1.0,0.0,1.0,0.0,0.0
050-5590-3904,太華,3.51,3.51,3.51,1.0,0.0,1.0,0.0,0.0
050-5456-9694,慈華,3.37,3.37,3.39,1.0,1.0,0.0,0.02,0.0
050-5592-6289,ロットチェント,3.81,3.81,3.8,1.0,0.0,1.0,-0.0100000000000002,0.0
050-5597-5083,ALTER EGO,3.82,3.82,3.87,1.0,0.0,1.0,0.0500000000000002,0.0
03-6457-8664,スクレ･サレ,3.3,3.3,3.33,1.0,0.0,1.0,0.0300000000000002,0.0
03-6268-9933,シェ オリビエ,3.74,3.74,3.74,1.0,0.0,1.0,0.0,0.0
050-5456-2053,aniko,3.14,3.14,3.14,1.0,0.0,1.0,0.0,0.0
03-5775-1636,蕎麦おさめ,3.34,3.34,3.39,1.0,0.0,1.0,0.0500000000000002,0.0
050-5457-0410,根津 焼鳥 照隅,3.27,3.27,3.16,1.0,0.0,1.0,-0.1099999999999998,0.0
03-3261-8577,紀尾井町 福田家,3.08,3.08,3.08,1.0,0.0,1.0,0.0,0.0
03-3873-8826,天ぷら 大塚,3.6,3.6,3.56,1.0,0.0,1.0,-0.04,0.0
050-5593-6658,レ・コパン ドゥ ドミニク・ブシェ,3.62,3.62,3.64,1.0,0.0,1.0,0.02,0.0
050-5596-3200,ラ トラットリアッチャ,3.5,3.5,3.5,1.0,0.0,1.0,0.0,0.0
03-3413-5520,旬菜 おぐら家,3.61,3.61,3.61,1.0,0.0,1.0,0.0,0.0
050-5596-3868,モワルーズ,3.09,3.09,3.09,1.0,0.0,1.0,0.0,0.0
03-3498-1314,ローブリュー,3.74,3.74,3.74,1.0,0.0,1.0,0.0,0.0
03-6225-0633,由庵 矢もり,3.67,3.67,3.67,1.0,0.0,1.0,0.0,0.0
03-3535-6667,アロマフレスカ,3.89,3.89,3.89,1.0,0.0,1.0,0.0,0.0
03-6882-5530,胡同サンキ,3.34,3.34,3.34,1.0,1.0,0.0,0.0,0.0
03-6433-5680,常,3.81,3.81,3.84,1.0,0.0,1.0,0.0299999999999998,0.0
050-5596-8212,グレイス 麻布十番店,3.62,3.62,3.62,1.0,0.0,1.0,0.0,0.0
03-6303-3663,八雲,3.8,3.8,3.81,1.0,0.0,1.0,0.0100000000000002,0.0
03-6277-0090,カンテサンス,4.66,4.66,4.48,1.0,0.0,1.0,-0.1799999999999997,0.0
03-6912-2941,Si.ba.ki,3.52,3.52,3.52,1.0,1.0,0.0,0.0,0.0
03-5981-5592,生粋 花のれん,3.7,3.7,3.71,1.0,1.0,0.0,0.0099999999999997,0.0
03-3289-5331,スリオラ,4.01,4.01,4.03,1.0,0.0,1.0,0.0200000000000004,0.0
03-6231-0641,かつ好,3.68,3.68,3.7,1.0,1.0,0.0,0.02,0.0
090-7716-4125,旬恵庵 あら垣,3.39,3.39,3.5,1.0,0.0,1.0,0.1099999999999998,0.0
050-5595-9346,ロワゾー,3.37,3.37,3.39,1.0,0.0,1.0,0.02,0.0
03-3473-3103,青草窠,3.73,3.73,3.72,1.0,0.0,1.0,-0.0099999999999997,0.0
03-6879-8998,東白庵 かりべ,3.34,3.34,3.39,1.0,1.0,0.0,0.0500000000000002,0.0
03-3567-5656,ラ・ベットラ・ダ・オチアイ,3.78,3.78,3.79,1.0,0.0,1.0,0.0100000000000002,0.0
03-3291-1475,共栄堂,3.75,3.75,3.76,1.0,0.0,1.0,0.0099999999999997,0.0
03-5363-1046,四谷 うえ村,3.5,3.5,3.49,1.0,0.0,1.0,-0.0099999999999997,0.0
03-3844-5529,すぎ田,3.77,3.77,3.77,1.0,0.0,1.0,0.0,0.0
03-3235-1260,中国菜 膳楽房,3.75,3.75,3.75,1.0,0.0,1.0,0.0,0.0
050-5456-9634,series,3.59,3.59,3.6,1.0,1.0,0.0,0.0100000000000002,0.0
03-5561-2939,ユヌ パンセ,3.37,3.37,3.39,1.0,1.0,0.0,0.02,0.0
03-6416-8086,オトナノイザカヤ中戸川,3.35,3.35,3.38,1.0,0.0,1.0,0.0299999999999998,0.0
050-5595-2068,エディション・コウジ シモムラ,3.89,3.89,3.89,1.0,0.0,1.0,0.0,0.0
03-3249-7776,おにく 花柳,4.29,4.29,4.21,1.0,0.0,1.0,-0.08,0.0
03-5643-1566,日本橋 蕎ノ字,4.03,4.03,4.08,1.0,0.0,1.0,0.0499999999999998,0.0
03-5568-4411,銀座 鮨 かねさか 本店,3.86,3.86,3.85,1.0,0.0,1.0,-0.0099999999999997,0.0
03-3374-1650,すし宗達,3.37,3.37,3.39,1.0,1.0,0.0,0.02,0.0
03-5565-0055,手打ち蕎麦 成冨,3.77,3.77,3.77,1.0,1.0,0.0,0.0,0.0
050-5596-1047,寿こう,3.66,3.66,3.66,1.0,1.0,0.0,0.0,0.0
03-5766-9500,レフェルヴェソンス,4.64,4.64,4.46,1.0,0.0,1.0,-0.1799999999999997,0.0
03-5809-2866,てんぷら 下村,3.71,3.71,3.71,1.0,0.0,1.0,0.0,0.0
050-5592-6594,茂松,3.37,3.37,3.36,1.0,1.0,0.0,-0.0100000000000002,0.0
03-3797-3837,ルブトン,3.09,3.09,3.09,1.0,0.0,1.0,0.0,0.0
050-5594-1508,肉割烹 上,4.34,4.34,4.25,1.0,0.0,1.0,-0.0899999999999998,0.0
03-3507-5501,新ばし 笹田,4.01,4.01,4.09,1.0,0.0,1.0,0.08,0.0
050-5594-2853,凛,3.51,3.51,3.51,1.0,0.0,1.0,0.0,0.0
03-6416-8587,千真野,3.26,3.26,3.15,1.0,0.0,1.0,-0.1099999999999998,0.0
03-3429-1344,鮨処 喜楽,3.66,3.66,3.66,1.0,0.0,1.0,0.0,0.0
03-6264-4218,ビストロ・シンバ,3.85,3.85,3.84,1.0,0.0,1.0,-0.0100000000000002,0.0
03-5537-3338,銀座 奥田,3.87,3.87,3.87,1.0,0.0,1.0,0.0,0.0
03-5758-5405,アンフュージョン,3.62,3.62,3.62,1.0,0.0,1.0,0.0,0.0
050-5594-5442,Takumi,3.87,3.87,3.87,1.0,0.0,1.0,0.0,0.0
03-6456-1716,サン ヤコピーノ,3.49,3.49,3.49,1.0,0.0,1.0,0.0,0.0
03-6805-0058,御料理 宮坂,4.5,4.5,4.48,1.0,0.0,1.0,-0.0199999999999995,0.0
03-3293-2110,ポンチ軒,3.79,3.79,3.79,1.0,0.0,1.0,0.0,0.0
03-3268-3377,中国菜 智林,3.49,3.49,3.49,1.0,0.0,1.0,0.0,0.0
03-3585-3030,花のれん 花楽,3.7,3.7,3.69,1.0,0.0,1.0,-0.0100000000000002,0.0
03-5625-2929,はせ川,3.79,3.79,3.79,1.0,0.0,1.0,0.0,0.0
03-6274-6620,Osteria da K.[kappa],3.68,3.68,3.67,1.0,0.0,1.0,-0.0100000000000002,0.0
03-6458-1255,NOURA,3.65,3.65,3.65,1.0,0.0,1.0,0.0,0.0
03-6812-9848,山﨑,4.44,4.44,4.31,1.0,0.0,1.0,-0.1300000000000007,0.0
03-3666-3419,つじ村,3.55,3.55,3.54,1.0,0.0,1.0,-0.0099999999999997,0.0
03-3572-7088,銀座 安達直人,3.31,3.31,3.33,1.0,0.0,1.0,0.02,0.0
03-5454-3715,笹吟,3.43,3.43,3.43,1.0,0.0,1.0,0.0,0.0
03-3983-1103,竹政,3.64,3.64,3.64,1.0,0.0,1.0,0.0,0.0
050-5869-8738,中華香彩JASMINE,3.74,3.74,3.74,1.0,0.0,1.0,0.0,0.0
050-3155-1309,赤坂 桃の木,3.08,3.08,3.14,1.0,0.0,1.0,0.06,0.0
03-6380-0978,青華こばやし,3.91,3.91,3.9,1.0,0.0,1.0,-0.0100000000000002,0.0
03-6801-5022,トラットリア ダディーニ,3.43,3.43,3.43,1.0,0.0,1.0,0.0,0.0
050-5595-1304,デトレゾン,3.51,3.51,3.51,1.0,0.0,1.0,0.0,0.0
050-5593-6605,鮨 由う,3.97,3.97,3.98,1.0,0.0,1.0,0.0099999999999997,0.0
03-5772-6244,ル・ブルギニオン,3.84,3.84,3.87,1.0,0.0,1.0,0.0300000000000002,0.0
03-6318-6402,コジコメ,3.37,3.37,3.37,1.0,1.0,0.0,0.0,0.0
03-6809-2502,御成門はる,4.02,4.02,4.04,1.0,1.0,0.0,0.0200000000000004,0.0
03-3661-8010,ヤマト,3.7,3.71,3.71,1.0,0.0,1.0,0.0099999999999997,0.0099999999999997
050-5593-6140,江戸前晋作,3.83,3.84,3.87,1.0,0.0,1.0,0.04,0.0099999999999997
03-6277-0723,あき山,3.64,3.65,3.64,1.0,0.0,1.0,0.0,0.0099999999999997
050-5456-1900,御料理 辻,3.64,3.65,3.65,1.0,0.0,1.0,0.0099999999999997,0.0099999999999997
03-6447-7480,Ode,4.17,4.18,3.98,1.0,0.0,1.0,-0.1899999999999999,0.0099999999999997
03-5785-0799,NARISAWA,4.33,4.34,4.18,1.0,0.0,1.0,-0.1500000000000003,0.0099999999999997
